Voice;Ref;Pred_Raw;Pred_LLM;WER_Raw;WER_LLM;Time_ASR;Time_LLM;Time_Total
sample_000.wav;Tim-tim virtual memiliki standar keunggulan yang sama dengan tim konvensional, tetapi ada sedikit perbedaan.; Tim tim virtual memiliki standard keunggulan yang sama dengan tim konfensional, tetapi ada sedikit perbedaan.;Teman-teman Tim Virtual mempunyai keunggulan yang sama seperti Tim Konfederional, tetapi terdapat sedikit perbedaan.;0.28571429;0.50000000;0.64764142;1.33316207;1.98080349
sample_001.wav;Segera setelah permusuhan pecah, Britania memulai blokade laut Jerman.; Segera setelah permusuhan pecah, pita nih yang memulai blokad ilau cerman.;Segera setelah permusuhan pecah, pita yang memulai blokad ilau mencerman.;0.66666667;0.55555556;0.60817456;1.15173411;1.75990868
sample_002.wav;Semua nomina, di samping kata Sie untuk Anda, selalu dimulai dengan huruf kapital, bahkan di tengah kalimat.; semua nominah di sampen rata sih untuk anda selalu dimulai dengan hokkapital bahkan di tengah kalimat;Semua nama tersebut disampel rata, tapi untuk Anda selalu dimulai dengan huruf kapital. Di tengah kalimat, mereka juga diletakkan seperti itu.;0.47058824;0.82352941;0.64806199;1.29673028;1.94479227
sample_003.wav;Ini sepertinya masuk akal, karena Bumi tidak terasa seperti bergerak, bukan begitu?; ini sepertinya masuk akal karena kami tidak terasa seperti perkara bukan begitu;ini sepertinya masuk akal, karena kami tidak terasa seperti perkara bukan.;0.33333333;0.33333333;0.55363488;0.90207291;1.45570779
sample_004.wav;Di sisi lain, kondisi yang dingin dan bersalju tergolong normal di banyak negara dan lalu lintas terus berlanjut tanpa gangguan sepanjang tahun.; diisisi lain, kondisi yang tingin dan persaal juter kolong normal dipanya negara dan lalu dintas terus berlangjut tanpa pengguan sepanjang tahun.;Diisilannya, kondisi yang tetap dan penduduk banyak masuk ke negeri itu dan kemudian mulai berkembang tanpa ada bantuan selama setiap tahunnya.;0.50000000;0.86363636;1.06187177;1.45575571;2.51762748
sample_005.wav;Kambing tampaknya mulai dijinakkan sekitar 10.000 tahun lalu di pegunungan Zagros di Iran.; Kambentan banyak mulai diginakan sekitar seuluh riputau nalutip konongan saya across di Iran.;"Berikut adalah teks dengan tanda baca dan huruf kapital yang sudah diperbaikinya:

Kambing tanah banyak mulai diginakan sekitar satu rumput nalutip konongan saya acak di Iran.";0.69230769;1.61538462;0.73960662;1.76738524;2.50699186
sample_006.wav;Di kepulauan dan danau, Anda tidak perlu kapal pesiar.; di kebuluhan dan danau anda tidak perlu kapal kesiara;Di kebun hulu dan danau Anda tidak perlu menggunakan kapal kesehatan.;0.33333333;0.55555556;0.39547944;0.90027976;1.29575920
sample_007.wav;Pemberitahuan reguler di Metro hanya menggunakan bahasa Katalan, tetapi gangguan tak terencana diumumkan lewat sistem otomatis dalam berbagai bahasa, antara lain Spanyol, Inggris, Prancis, Arab, dan Jepang.; Tom beritahuan reguler di metro hanya menggunakan fahasah katalan tetapi gangguan tak terencana diunumkan mewak sistem otomatis dalam berbagai pahasah, antara lain sepanol, ingriis, pransis, arah dan cepan.;Tom beritahu reguler di metro hanya menggunakan fasilitas katalan tetapi gangguan tak terduga diumumkan melalui sistem otomatis dalam berbagai penguatan, antara lain sepanjang, inggris, prancis, arab dan Cina.;0.44444444;0.37037037;1.52106094;2.06525660;3.58631754
sample_008.wav;Ini adalah salah satu atraksi utama Afrika Selatan dan dianggap sebagai andalan Taman Nasional Afrika Selatan (SANParks).; Ini adalah salah satu atrak di utama Afrika Selatan dan diangkapsip ke Anggalan Taman najuna Afrika Selatan, dengan guru-sandpap.;Ini adalah salah satu atraksi yang sangat penting di Afrika Selatan dan dikelilingi oleh National Park Safari, dipimpin oleh guru dan tenaga penjaring.;0.52941176;0.88235294;0.90717459;1.30234194;2.20951653
sample_009.wav;Mereka memiliki kaki dengan sisik dan cakar, bertelur, dan berjalan dengan dua kaki belakang seperti T-Rex.; mereka mau laki-laki dengan sesi dan jakar untuk keluar dan perjalan dengan dua gaki pelakang seperti terakhir.;"Tentu, saya akan membantu Anda merubah kosa-kata asli tersebut sesuai aturan yang diharapkan:

""Karena mereka mau laki-laki dengan sesi dan jakar untuk keluar dan pergi ke jalan dengan dua gaji pelakang seperti saat sebelumnya.""

Harap dicatat bahwa saya telah melakukan perbaikan tanda baca, huruf kapital, serta aturan lain yang diberikan Anda.";0.62500000;2.75000000;0.73013616;3.37736440;4.10750055
sample_010.wav;Dia juga terlibat dalam pengukiran uang kertas untuk banyak negara, contoh karyanya yang terbaru termasuk potret Perdana Menteri di bagian depan uang kertas $5 dan $100 Kanada yang baru.; Dia juga terlibat dalam pengokiran uang kertas untuk banyak negara. Sontok hari yang yang terbaru termasuk potret perdanaman 3 dibagian depan uang kertas lima dolar dan seratu stolar kanada yang baru.;Dia juga terlibat dalam pengokiran uang kertas untuk banyak negara. Sontek hari yang terbaru termasuk potret perdana dari 3 dollar yang dibagian depan uang kertas lima dolar dan seratu stolar Kanada baru.;0.44827586;0.48275862;1.36527157;2.07076383;3.43603539
sample_011.wav;Orang-orang telah mengenal unsur-unsur kimia dasar seperti emas, perak, dan tembaga dari zaman kuno karena semua ini dapat ditemukan di alam dalam bentuk aslinya dan relatif mudah ditambang dengan alat-alat primitif.; Orangurang telah mengenal un surun seru kimiya dan sar seperti mas, perak dan tembaga, jadi zaman kunuh karena semua ini dapat ditemukan di alam dalam menukasliya dengan ralatek muda ditambang dengan halat alat primitif.;"Dalam batas waktu 200 kata Anda, saya akan perbaiki tanda baca dan huruf kapital pada teks tersebut: 

Orang-orang telah mengenal un surun seru kimia dan sar seperti mas, perak dan tembaga, jadi zaman kuno karena semua ini dapat ditemukan di alam dalam menukasliya dengan ralatet muda ditambang dengan halat alat primitif.";0.61290323;1.06451613;1.48772454;3.41243815;4.90016270
sample_012.wav;Dibangun oleh orang-orang Mesir pada abad ketiga SM, Piramida Agung merupakan salah satu dari banyak struktur piramida besar yang dibangun untuk menghormati Firaun yang telah meninggal dunia.; di bangun oleh orang-orang masyir pada abad ketiga sebelum masyih, diramida agung rupekan salah satu dari banyak struktur piramida besar yang dibangun untuk menghormatifier-ahun yang telah meninggal dunia.;Di bangun oleh orang-orang Masihi pada abad ketiga sebelum Masihi, di ramadu Agung berupa salah satu dari banyak struktur pimara diibulkan untuk menghormati tahun yang sudah meninggalkan dunia.;0.33333333;0.55555556;1.33036995;1.93836141;3.26873136
